expertise,interest,about,name
"Sustainable Carbon Efficient Energy Systems, Smart Grids, Battery Storage Management, Renewable Energy and its reliable integration","Managing renewable uncertainties via battery storage systems,Stochastic modeling,Reinforcement learning,Machine learning,Control & Optimization","Dr. Vivek Deulkar is a faculty member at Plaksha. Before joining Plaksha, He was a postdoctoral research associate at Manning College of Information and Computer Sciences, University of Massachusetts, Amherst, where he worked developing Artificial Intelligence (AI) solutions for sustainable energy systems, renewable integration, and battery storage, electricity markets, and energy arbitrage. 
 
He did his Ph.D. in Electrical Engineering at the Indian Institute of Technology Bombay. His Ph.D. research was in the space of smart grid managing uncertainties in renewable generation using battery storage, drawing on tools from stochastic modeling, applied probability, sequential decision-making, optimization, control, and reinforcement learning. 
 
Dr. Deulkar has an M.Tech in Control and Computing from Electrical Engineering, IIT Bombay, and a B.Tech in Electronics and Communication Engineering from Visvesvaraya National Institute of Technology (VNIT) Nagpur.  
 
He also has experience working with the Engineering Research Centre, Tata Motors Ltd., Pune, where he worked in the Auto-Electric Embedded Systems design group towards software development of embedded controllers used for various automotive applications.",Dr. Vivek Deulkar
Energy Efficient and Smart Buildings,"Building Energy Informatics,Smart Energy Homes,Cool Surfaces for Urban Heat Island Mitigation,Decarbonising Residential AC Energy Consumption","Vishal Garg is a University Chair Professor and the Director of Indorama Ventures Center for Clean Energy. He works on various aspects of energy efficiency in buildings, such as building energy simulation for designing energy-efficient buildings and automation and controls for efficient operations. His current focus is on Smart Energy Homes. He is developing and field testing a Smart Home Energy Management System (SHEMS) to understand its impact on energy savings and demand reduction. This work also includes psychological evaluations and sociological approaches to understanding people’s energy behaviour. He is also involved in policy-making and market research of smart energy homes and is incubating a start-up to facilitate lab to market.
Prof Garg is enthusiastic about cool surfaces for mitigating the impact of Urban Heat Islands, thereby reducing cooling energy consumption, offsetting global warming, and saving the lives of the urban poor, especially during heatwaves. He has impacted the deployment of over one million square feet of cool surfaces in the country and is currently supporting the development of a cool roof policy for Telangana with a target of 100 sq. km of cool roofs in Hyderabad. He is the recipient of the inaugural Dr Arthur Rosenfeld Urban Cooling Achievement Award - an award established by the Global Cool Cities Alliance to honour the legacy of Dr Rosenfeld’s advocacy for cooler buildings, cooler cities and a cooler planet.
He serves on the editorial board of well-known journals, is a member of several national and international academic committees, was the founding president and board member of the International Building Performance Simulation Association’s (IBPSA) Indian affiliate, is an executive committee member of Alliance for an Energy-Efficient Economy and is a panellist for a chapter on sustainability in the National Building Code of India. As a task force member of ISHRAE, he has contributed to the Covid-19 guidelines on air conditioning and ventilation for healthcare facilities. He is also a project committee voting member in the ASHRAE’s Standing Standard Project Committee 90.2: Energy Efficient Design of Low-Rise Residential Buildings. He is a Fellow of IBPSA-world, the Indian Green Building Council (IGBC) and the Indian Society of Lighting Engineers. Garg also has a US patent for his research on Transactive-Energy based Task Controls which he plans to productise.
He teaches Building Energy Simulation, Green Buildings, and Illumination Engineering. He is a lead author of a workbook on building energy simulation.",Dr. Vishal Garg
Quantum Computing and Cryptography,"Quantum Computing and Cryptography,Post-Quantum Cryptography,Signatures in Multivariate setting,Lattice-Based Signatures and Key-Exchange protocols,Quantum Cryptanalysis,Blockchain,Online Voting Scheme","Dr. Tapas Pandit recently joined Plaksha as an assistant professor in communication security. His research interests include quantum computing, designing security protocols in post-quantum settings, blockchain, and online voting schemes.

Tapas received his M.Tech and Ph.D. in computer science from ISI Kolkata. His doctoral thesis focuses on the design of predicate-based cryptosystems. As a postdoctoral researcher at IISc Bangalore, Tapas worked on quantum computing and designing post-quantum cryptosystems.
",Dr. Tapas Pandit
"Financial Economics, Labor Economics, Macroeconomics & Management","Financial Economics,Macrofinance,Financial Disclosure and Reporting,Labor Economics,Education,Development Economics,Quantitative Marketing,Strategic Management","Dr. Tanmoy is a financial and labor economist, working primarily in corporate finance, financial intermediation, macrofinance, climate finance, household finance, financial disclosure and reporting, and labor economics. He is also interested in quantitative marketing and strategic management.
 
Prior to joining Plaksha, Dr. Tanmoy served as an Assistant Professor of Economics (Business Environment) at the Indian Institute of Management in Lucknow. He holds a Ph.D. in Economics from Erasmus University Rotterdam in the Netherlands. He earned masters from Delhi School of Economics. He worked as a treasury economist at IDBI Bank Ltd. following completion of his Masters.

For details, please refer to his personal webpage: https://sites.google.com/view/majilla",Dr. Tanmoy Majilla
DNA repair and DNA damage response,"DNA repair and DNA damage response,DNA-protein crosslinks repair,Ubiquitin proteasome system in DNA damage response,Replication fork reversal and protection","Dr. Swagata Halder aims to pursue his research in the area of DNA damage response in order to formulate novel therapeutic interventions against cancer. His laboratory expertise in molecular cell biology and in vitro protein biochemistry.

Dr. Halder obtained his DPhil degree from the University of Oxford, UK under the supervision of Prof. Kristijan Ramadan. During his DPhil research, Dr. Halder along with his colleagues discovered a new human syndrome, now known as SPARTAN syndrome or Ruijs-Aalfs syndrome. It has led to the further characterization of SPRTN-protease in DNA-protein crosslinks repair pathway and subsequently established why SPRTN-deficiency leads to premature ageing and early onset liver cancer.

Dr. Halder pursued his postdoctoral research as a scientist at the Institute for Research in Biomedicine (IRB), Bellinzona, Switzerland at Prof. Petr Cejka’s laboratory. By utilizing in vitro biochemistry, Dr. Halder has demonstrated how breast cancer susceptibility protein BRCA2 protects stressed replication fork in RAD51 dependent manner and showed why a single cancer associated mutation in BRCA2 render these cells sensitive to DNA damaging agents (e.g., PARP inhibitors). His work additionally addressed some key fundamental questions in the DNA-repair field and paves the way for further research in this rapidly emerging and therapeutically important field.

Dr. Halder has received Goodger-Schorstein research scholarship in Medical Sciences, University of Oxford and Doctoral Transition Innovation Award from the European Institute of Innovation, Technology and Health, a body of the European Union. Dr. Halder is also a recipient of EMBO Long-Term Fellowship. Dr. Halder’s research has been published in prestigious scientific journals like Nature Genetics, Nature Communications, Molecular Cell, Nucleic Acid Research, Scientific Reports and Chemical Science.
",Dr. Swagata Halder
,"Bayesian Data Analysis of cosmological models using the observational data from different sources,Dark Matter, Dark Energy, Cosmic Acceleration, Anisotropic Cosmological Models,To find/investigate possible solutions to various problems associated with the standard cosmological model of the Universe","Prof. Suresh Kumar is a distinguished academician and researcher with a stellar track record in the field of Bayesian Statistics and Observational Data Analysis in Cosmology. Holding a PhD from the University of Delhi, he has demonstrated exceptional academic prowess throughout his career, earning accolades such as the CSIR-NET and awards for being the M.Sc. topper, alongside numerous merit scholarships. His academic journey has been characterized by unwavering excellence, and consistent first-class performance.

With over 19 years of teaching experience across esteemed institutions like DCE/DTU Delhi, BITS Pilani, NIT Kurukshetra, and IGU Meerpur, Prof. Kumar has played a pivotal role in shaping the minds of countless students. His expertise extends beyond the classroom, as evidenced by his extensive research portfolio comprising 54 publications in SCI journals. Notably, he has authored 7 single-author papers, boasting an impressive h-index of 33 and an i10-index of 49, with his work garnering over 4500 citations.

Prof. Kumar's research prowess is further underscored by his collaborations with eminent scientists, resulting in several impactful publications. His collaborative efforts span the globe, encompassing renowned scientists from the USA, UK, France, Italy, Japan, China, Turkey, Mexico, and beyond.
",Dr. Suresh Kumar
"Medical and Surgical Robotics, Robotics and Automated Systems, Cyber Physical Systems","Medical/Surgical Robotics, Biomechatronics,Robotics, Mechatronics and AI - in Structural Healthcare, Agriculture, Smart Buildings, Sports Engineering etc.,Ultrasound - Imaging & Diagnostics (Medical/Industrial), Therapeutics and Surgical Ultrasound,Flexible and Soft Robotics - configuration system development for applications in Industrial and Healthcare systems,Intelligent/Smart Systems - Sensing, Monitoring, Manufacturing","Sunita CHAUHAN (PhD, DIC, Medical Robotics, Imperial College of Science Technology and Medicine, London, UK -1999), has recently joined as Professor and Founding director - Center for Centre for Equitable & Personalized Healthcare at Plaksha University. She is Professor (adj.) at the Mechanical and Aerospace Department, Faculty of Engineering and held the positions of Professor and Director of the Robotics and Mechatronics Engineering at Monash University, Australia for almost a decade; Chief Investigator of the BmRAS (Bio- mechatronics, Robotics & Automated Systems) research group. Prior to joining Monash in 2012, she had worked at Nanyang Technological University (Singapore) 1999-2011, Newcastle University (UK) 2011-12 and several other industrial R&D and scientific positions. She had been on several academic/research visiting fellowship/roles at Klinikum Mannheim, Karl Ruprecht's University of Heidelberg, Germany; Kings College, London, UK; NTU, Singapore etc.

Her current research interests include: Medical/Surgical Robotics (comprising state of the art surgical assist technologies such as Computer Assisted and Integrated Surgery (CAS/CIS) systems including safety driven design, development (using both subtractive and additive manufacturing) and intelligent control of novel medical/surgical robotic systems for minimally invasive and non-invasive surgery, Robotic exoskeletons, Intern-replacement, system safety etc.); Surgical training and automated assessment using AI based deep-learning methodologies; Intelligent Diagnostics and Robotics in Infrastructural Healthcare for inspection and proactive maintenance (Railways, Aerospace, Defence, Agriculture, Buildings, Solar farms etc); Sports Eng.- high performance swimming, cycling, archery etc.

Professor Chauhan is a member of several prestigious professional organizations, such as senior member-IEEE and its Robotics & Automation Society, life member-IACAS, member of UIA and ISTU & SPIE (past). She had been an invited key-note speaker and panel member in various Intl’ conferences and many scientific and public events; invited to hold special conference sessions; general chair for Sports Eng. conference; invited for several expert Intl’ review panels: ASTAR (SG), NHMRC (Australia), FP7/8 and Horizon2020, ESF European grants. She serves on the boards of directors and advisory of several organizations/institutions globally. 

She has been conferred various awards and accolades internationally, notably - IEEE Asia Pacific Most Inspiring Engineer of the Year Award -by IEEE R10 (Asia and Pacific region) for contribution towards advancing technology for humanity through her work on Surgical Robotic Systems for Management of Breast Cancers; ROAR & OASIS fellowship with professional attachments in Europe; the Public-sector Innovation award (TEC -The Entrepreneur Challenge), Prime minister office, SG) along with her enterprising students, 2006; Hind Rattan Award (Jewel of India), by NRI Soc., c/o Govt. of India, nominated for Sword of Honor (Pravasi Bhartiya Divas) and Mahatama Gandhi Samman (organized at the House of Commons London), Commonwealth scholarship/fellowship award to pursue PhD in Robotics & AI by British Council.

Her work caught Intl’ media attention several times and published in leading newspapers and scientific magazines. She has supervised national and internationally-funded research projects and is a sole/principal inventor of several patents granted/pending related to her research. She delivered more than 70 invited talks and participated in various short courses/workshops conducted by local as well as overseas organizations. She is a reviewer of several international journals and conferences, and participates actively in their program and organizing committees as specialized session-chair, track-chair, publicity-chair etc. 
",Dr. Sunita Chauhan
"Nanoelectronics, IoT Systems","Nanoelectronics,IoT systems,Precision agriculture,Computer vision,Machine Learning,Beyond-CMOS devices","Prior to joining Plaksha, Dr. Srikant Srinivasan was an Associate Professor in the School of Computing & Electrical Engineering at the Indian Institute of Technology Mandi, where he was also the Associate Dean (courses). He graduated with a PhD in Electrical and Computer Engineering from Purdue University, USA and was awarded an Outstanding Dissertation in Magnetism award by the American Physical Society, as well as a student innovator award for developing nanomagnet-based computing devices as an alternative to traditional silicon transistors. Subsequently, he worked as a Post-doc, Data Scientist and later as an Adjunct Assistant Professor in interdisciplinary engineering domains such as materials informatics and high-throughput plant phenotyping at the Iowa State University, before joining IIT Mandi. At IIT Mandi he was working on sponsored research projects related to precision agriculture and was also strongly involved in interdisciplinary curriculum design and execution for undergraduate students. He was the PI for the multi-institution collaboration – FarmerZone, which delivers agricultural advisories to farmers across multiple states in India. He is a recipient of the Ramalingaswami Re-Entry fellowship by the Department of Biotechnology, and currently serves as a program review committee member for DBT’s flagship program Biotech Kisan. He is an advisor and equity holder in Arnetta Technologies Pvt Ltd, an incubatee of IIT Mandi.",Dr. Srikant Srinivasan
"Affective Computing, Artificial Intelligence, Computational Neuroscience","Computer Vision,Bio-sensing,Human Factors,Deep Learning,Cognitive Science,Applied Psychology","Dr. Siddharth came to Plaksha from the Human Factors Center of Excellence at Microsoft USA where he worked as Senior Human Factors Researcher. He is passionate about working on research themes with practical applications in the technology industry.  
At Plaksha, Dr. Siddharth is investigating and modeling human physiological responses to improve cognitive well-being, and enhance human safety, productivity, and creativity. By integrating domain-specific knowledge from the fields of signal processing, computational neuroscience, computer vision, and machine learning, his research group is utilizing human physiological responses to track various cognitive states such as emotions, stress, awareness, mental load, and more. His research and recommendations have practical applications in the technology industry for the development of safer and more user-centered designs that promote cognitive well-being.
In the past, Dr. Siddharth led the Microsoft Human Factors Center of Excellence’s efforts to design personalized user experiences through neurophysiological insights into users' preferences enabling them to be more productive and establish meaningful connections with each other. He has also worked at Facebook Reality Labs, Samsung Research America, French National Center for Scientific Research (CNRS), and National University of Singapore. His research has been awarded fellowships and research grants from various institutions including the National Science Foundation, Army Research Lab, and the Kavli Institute of Brain and Mind. It has also been published in many international conferences and reputed journals including IEEE Transactions and Nature Scientific Reports and has spawned multiple patents.
Dr. Siddharth received his Ph.D. from the University of California San Diego where he also served as the Graduate Fellow Editor of the Prospect Journal of International Affairs and Graduate Student Member of the South Asia Initiative. His first book, Founding Generations: Democracy's Origins and Parallels in America and India, was released recently. For more up-to-date information about him, please visit https://ssiddharth.in/about-me",Dr. Siddharth
Fluid Dynamics and Heat Transfer.,"Buoyancy driven (environmental) turbulent flows,Fluid dynamics and heat transfer of Bio-inspired systems,Light propagation in turbulent media,Engineering Education","Dr Shashikant Pawar obtained his PhD from Indian Institute of Science, Bangalore specializing in turbulent flows. He studied buoyancy driven turbulent flows which are ubiquitous in nature, atmospheric and oceanic flows, mantle convection in the planets and convection in the stars are some examples. He explored the so called ‘Ultimate regime of convection’ and have reported some new results. He has also studied the effect of turbulence on the propagation of light. A commonly observed phenomenon of ‘twinkling of star’ is an example of this effect.
He is interested in the studies of Pollution dispersion, Bio-inspired energy efficient and sustainable design, Light propagation through turbulent media, Engineering education and STEM for students with visual impairments. He has had a stint of about a year in the High Performance Computing Laboratory, IIT Kanpur, during his M.Tech (specializing in Computational Fluid Dynamics and Heat Transfer). His experience in industry comes in handy in building the experimental setups.",Dr. Shashikant Pawar
"Robotic autonomy, Vision based robot navigation","Multi-Agent Robotic Path Planning & Control,Flexible Robotic Control & Manipulation","Prior to joining Plaksha, Dr. Tamaskar worked as a Research Scientist & Project Manager in Siemens Corporation, where he led a team of robotics and machine learning engineers to work on complex R&D projects related to advanced manufacturing and automation. The research topic areas included flexible robotic control leveraging the digital twin of the manufacturing process, flexible pick and place operations and interoperability between robotic and manufacturing systems. These projects were funded by the Advanced Robotics in Manufacturing (ARM) Institute, which is DoD sponsored public-private partnership aimed at improving the adoption of robotics in manufacturing.  
 
Dr. Tamaskar received his BTech from IIT Bombay in 2005 and completed his MS and Ph.D. in Aeronautics & Astronautics from Purdue University in 2011 and 2014 respectively. After his Ph.D., he worked as a Technical Specialist in Advanced Controls Research Group at Cummins Inc. where he developed algorithms for state estimation and utilized model predictive techniques for internal combustion engines. His research led to significant improvements in engine fuel efficiency and reduction in emissions and the work is currently being deployed in production engines and has been awarded several patents. He has received several patents and awards for his research such as the Boeing Excellence Award for outstanding research. He also founded and led the development of the first student satellite of IIT Bombay, Pratham, which was launched by Indian Space Research Organization in September 2016.
 
At Plaksha, Dr. Tamaskar wants to pursue industry-focused research in Multi-Agent Robotic Path Planning and Control and Flexible Robotic Manipulation with the long-term vision of improving the adoption of robotics in India. While countries like China and South Korea have heavily invested in robotics and automation, India is far behind. India’s robot density is only 4 industrial robots per ten thousand employees, far below China (732)/South Korea (2589). Some of the challenges associated with automation and robotics for medium and small industries are lack of flexible technologies, high acquisition and sustainment cost, dearth of technical support, interoperability with legacy automation equipment, and paucity of indigenous solutions and trained workforce. He is actively seeking partnership opportunities with like-minded individuals in pursuit of this long-term vision and help accelerate the adoption of robotics and automation.",Dr. Shashank Tamaskar
Computer Networks & Queueing Systems,"Modeling, Simulation and Analysis of Communication Networks,Performance of WDM Systems,ATM Networks,Queuing Networks,Network Applications,Multiple Access Schemes,Mobile Satellite Systems,Communication & Queueing Related Software Development","Dr. Bose has earlier served as Professor of Electrical Engineering at IIT Kanpur, and more recently at IIT Guwahati. Dr. Bose has also earlier served as the Dean of Alumni Affairs & External Relations at IIT Guwahati, Associate Professor and Senior Fellow at NTU Singapore, Technical Corporate R&D Staff Member at General Electric, and has been a visiting faculty at the University of Adelaide, Queensland University of Technology, University of Pretoria and Royal Melbourne Institute of Technology. His research interests lie in the fields of communication networks, network applications, and performance of WDM Systems. He holds a Ph.D. & M.S. in Electrical Engineering, from Stony Brook, USA, and completed his B.Tech, from IIT Kanpur. Professor Bose is a highly distinguished academician and is a Senior Member of IEEE, a Member of Sigma Xi, a Member of Eta Kappa Nu and a Fellow of IETE (India).",Dr. Sanjay Kumar Bose
Robotics and Applied Machine Learning,"Robotics for Marine and Agriculture,Path Planning,Reinforcement Learning,Adaptive Sampling for Environmental Monitoring","Dr. Sandeep Manjanna is a founding faculty at Plaksha University. His research is in applied machine learning and robotics. Before this, he was a James McDonnell Postdoctoral Fellow at GRASP Labs in Computer and Information Science at University of Pennsylvania, Philadelphia, PA, USA. His research interests include robotic active sampling, multi-robot coordination, robotic sensor networks, reinforcement learning, and machine learning.

Dr. Manjanna received his MSc and PhD from McGill University advised by Prof. Gregory Dudek. His doctoral research focuses on designing algorithms for autonomous vehicles to sample, understand, and map challenging environments. Dr Manjanna’s PhD thesis was awarded CIPPRS John Barron Dissertation Award in Robotics (2021) for its impact in the field of Robotics in Canada.
",Dr. Sandeep Manjanna
"Bioenergy, Computational Bioengineering","Algal Biotechnology,Lignocellulosic Biofuels,Sustainable Biofactories,Computational Multiscale Bioengineering","Dr. Saikat Chakraborty is Professor of Biological Systems Engineering, and Faculty Advisor for Global Engagements (USA), at Plaksha University. His research aims to create biofactories that produce bioenergy and high-value biomolecules from algal and lignocellulosic biomass for a sustainable tomorrow on this climate-altered planet, and to construct digital twins of human physiological systems for computational bioengineering of multiscale diseases.
His PhD in the Department of Chemical and Biomolecular Engineering at University of Houston involved developing a new spatial averaging technique by employing the Liapunov-Schmidt method of the classical bifurcation theory, while his post-doctoral research at University of Texas Medical School was focused on computational multiscale modelling of the human lungs and pulmonary disorders. His research at IIT Kharagpur – where, until recently, he was an Associate Professor of Chemical Engineering, and the principal investigator of the DBT-Pan IIT Center for Bioenergy, and the PK Sinha Center for Bioenergy and Renewables – not only explored computational multiscale modelling of biological systems, but also led to experimental innovations of rapid cost-effective lignocellulosic and algal biofuel processes, on which he has authored five patents and fifty high-impact publications with an h-index of 20, and has supervised six doctoral dissertations.
Prof. Chakraborty has received the Sigma Xi Research Achievement Award from the University of Houston, the Young Engineers Award from The Institute of Engineers (India), and was nominated for the Man Asian Literary Prize. He is an honorary member of the European Federation of Chemical Engineering (Sustainability Section). His literary fiction and essays have appeared in Asia Literary Review, Tablet, Northeast Review, and Outlook India.",Dr. Saikat Chakraborty
"MEMS Technology, Mechanics and Mechanobiology","Microelectromechanical Systems,Nanoelectromechanical Systems,Vibroacoustics,Bioacoustics,Mechano-biology,Computational mechanic","Dr. Pratap is the Founding Vice Chancellor of Plaksha University. He was till recently the Deputy Director of Indian Institute of Science, Bangalore, Founding Chairperson of the Centre for Nano Science and Engineering (CeNSE) and a Professor in the Centre, as well as of Mechanical Engineering at IISc, Bangalore. 

A pioneer in the field of Micro and Nano-Electro-Mechanical Systems, Dr. Pratap has been associated with the Indian Institute of Science (IISc), Bangalore for almost 25 years (1996- 2021) and is credited for establishing the globally recognized Centre for Nano Science and Engineering at IISc. Dr. Pratap was also an invited professor at EPFL, Lausanne, Switzerland in 2004-05. Prior to joining IISc in 1996, he taught at the Sibley School of Mechanical and Aerospace Engineering, Cornell University, for 2.5 years. Dr. Pratap’s research areas include microelectromechanical systems (MEMS), sensor technology, computational mechanics, and mechanobiology. He headed India's first research lab in the field of microelectromechanical systems, the CranesSci MEMS Lab, at the IISc, Bangalore. He is an elected Fellow of the National Academy of Engineering and National Academy of Science.

An avid writer, Dr. Pratap’s book on MATLAB ‘Getting Started with MATLAB: A Quick Introduction for Scientists and Engineers’ is popular among engineering students around the globe. He is also an Associate Editor of the IEEE Journal of Microelectromechanical Systems and a member of the Editorial Board of the Journal of Micromechanics and Microengineering. He has published approximately 250 papers in peer-reviewed journals and conference proceedings. He is also an author on 17 patents. Dr. Pratap holds a B.Tech (Hons) degree from IIT Kharagpur, M.S from the University of Arizona and Ph.D. from Cornell University.
",Dr. Rudra Pratap
"Engineering Education, Tissue Engineering, Drug Delivery","Engineering education,Soft tissue biograft design,Drug Delivery,Biomaterials,Regenerative medicine","Prior to joining Plaksha, Dr. Joshi, Ph.D. was an Assistant Professor in the Department of Biomedical Engineering at the University of California, Davis, focusing on engineering education research and instructional innovation in biomedical engineering. Before joining UC Davis in 2018, she was a postdoctoral fellow in the Weldon School of Biomedical Engineering, Purdue University, working on multiple educational projects in enhancing teaching, learning, outreach, and diversity of engineers. Her current research focuses on approaching challenges in teaching engineering through the lens of design thinking.

Previously, Dr. Joshi contributed to instructional innovation in biomedical engineering at Purdue and worked on an National Science Foundation funded grant for studying the professional formation of engineers and enhancing diversity and inclusion within Purdue. She has been involved in educational entrepreneurship projects and making engineering accessible to underrepresented high school students in India and in the United States. 

Dr. Joshi received a BS in biotechnology engineering from Shivaji University, India, in 2009, and MS in biomedical engineering from Vanderbilt University in 2011, where she worked on creating smart microspheres responsive to temperature, pH, and Reactive Oxygen Species (ROS) for therapeutic drug delivery applications. She received her PhD in biomedical engineering from Purdue University in 2016, where she created designer collagen biografts for soft tissue biograft and drug delivery applications with Prof. Sherry Voytik-Harbin. Dr. Joshi has received several scholarships and awards for thought leadership, entrepreneurship, and community engagement, including the Ross Fellowship for outstanding PhD applicants, and the Burton D. Morgan Fellowship for entrepreneurial students at Purdue. She was honored by Dr. APJ Abdul Kalam, the late president of India, for her invention of “low calorie biscuits from banana peel pulp” and for her STEM popularization efforts. She authored a book in Marathi, Bhartiya Balvaidnyanik achi Garudzep, summarizing her life experiences in inspiring Indian students towards STEM pursuits, which won a literary award from the State Government of Maharashtra in 2008
",Dr. Rucha Joshi
