expertise,interest,about,name
Water Technology,"Wastewater treatment,Wastewater effluent polishing,Reversible adsorption,Nutrient recovery from wastewater,Circular economy in water sector","Dr. Prashanth Suresh Kumar is passionate about reimagining higher education and research in India. He had a decade long stint in Europe before joining Plaksha. He did his PhD from the Delft University of technology in the Netherlands, in the field of water technology & wastewater treatment. His PhD project was part of a very translational research atmosphere.  The technology developed during his research was successfully piloted in Sweden and Canada to combat the challenge of harmful algae blooms. Post his PhD, he was involved in EU projects related to water technology and in science projects with high school students in the Netherlands, an activity he thoroughly enjoyed. 
At Plaksha, Prashanth is keen to innovate on the teaching and research aspects involved in the technology education space. He likes to experiment with approaches like teaching through storytelling, flipped classrooms and project-based learning. In terms of research, his focus is to get active engagement of industries and academia to lead to translational research projects. He is leading the initiative for Plaksha’s Centre for Water Security, a research Centre aimed to solve the grand challenges in the water sector in India. 
Besides academia, Prashanth likes to actively engage with students in extracurricular activities like sports and music. He has travelled to 50 countries so far, and is ever eager to share and learn more about different cultures. He especially enjoys interacting with students regarding fitness and endurance, and is always open for an informal conversation on just about anything related to student life.",Dr. Prashanth Suresh Kumar
"Applied Microeconomics, Development Economics, Personnel Economics, Experimental Economics.","Applied Microeconomics, Development Economics, Personnel Economics, Experimental Economics.,Randomized Controlled Experiments,Child Undernutrition,Incentives in the Workplace,Marketing optimization,Civil wars and Terrorism,Discrimination","Dr. Prakarsh Singh is Chair Professor of Economics at Plaksha University. He was a science leader and senior economist at Amazon with work spanning subscription modelling, global talent management and streaming businesses to develop strategic insights in competition, pricing and marketing. He has hands-on experience building models employing econometrics, machine learning and data science.   

Dr. Singh has 21 publications in peer-reviewed economics journals with 400+ citations. His publications in top-ranked field journals include Journal of Development Economics, Journal of Health Economics, European Economic Review, Economics of Education Review, Journal of Economic Behavior & Organization, Journal of Conflict Resolution among many others, with a Grand Challenges Explorations Grant awarded by the Bill & Melinda Gates Foundation, state governments across India, and grants from the World Bank, United Nations and Fordham University. His research work on Incentives for Child caregivers to reduce Malnutrition has been awarded AAEA's Quality of Research Discovery and Best Paper Awards. He was the main Organizer of the Inaugural Liberal Arts Colleges Development Economics Conference (LAC-DEV) in 2013 and Co-organizer, 2014-2017. The annual conference showcases the best research in Development Economics at leading Liberal Arts Colleges. 

Dr. Singh has 12+ years of work experience in academia and industry with invited presentations at 80+ leading global academic and policy institutions. Within Amazon, Dr. Singh was a recognized Bar Raiser with an experience of leading 150+ tech hiring loops and has led research projects and teams in Prime Science, Global Talent Management and Prime Video. Prior to Amazon, he was a professor at Amherst College in Massachusetts, the leading liberal arts college in the US with visiting positions at Swarthmore College, University of Pennsylvania and University of Navarra. He completed his Ph.D., Master of Research and Bachelor of Science in Economics from the London School of Economics. 
",Dr. Prakarsh Singh
Physics,"Physics,Condensed matter,Mathematical models of learning and decision making","Broadly, Nitin's research interests lie at the intersection of physics, behavioral science and applied math. At Plaksha, he is working on (i) developing practical solutions for mental health care using a combination of analytical methods, technology and field work, and (ii) mathematical models of choice in decision making.",Dr. Nitin Upadhyaya
"Fungal Biocontrol Agents, Soil Fungal Microbiome","Sustainable agriculture, Responsible research and innovation, Pedagogy innovation","Dr. Navjot Kaur is an Assistant Professor of Biosystems Engineering at Plaksha University, India. Academically trained as a chemical engineer, she fell in love with biology during her graduate studies.  She earned her PhD from the Indian Institute of Science (IISc), Bangalore, where she worked on developing point-of-care molecular diagnostics. Before joining Plaksha University as a founding faculty, she was a research scientist at a giant generic drug development company in India, Dr Reddy’s Laboratories.

As a founding faculty she is actively involved in the outreach and admissions process, culture building and Young Technology Scholars (YTS) program at Plaksha University. She is a systems thinker, passionate about sustainable food production and consumption. Her group works on developing holistic solutions which incorporate technology development, responsible innovation, and stakeholder engagement to tackle the grand challenge of food security. She teaches courses on Nature's Machines, Molecular Biology and Nucleic Acid and Protein Biosensors.",Dr. Navjot Kaur
"Statistical Signal Processing, Reliability","Statistical Signal Processing,Reliability,Survival Analysis and Competing Risk models,Direction of Arrival Estimation,Sampling,Multivariate Analysis","Dr. Kannan joins Plaksha as Professor and Director of the Data Science Institute. She most recently served as the Executive Director of the Indo-U.S. Science and Technology Forum (IUSSTF), a binational organization established by the Indian and U.S. governments to catalyze collaborations between the S&T communities. At IUSSTF, she helped to develop new initiatives to support R&D collaborations in critical areas such as COVID-19 and Clean Energy.

Dr. Kannan brings leadership experience in both academia and government, an understanding of the critical role that science and technology play in this global inter-connected society, and a deep commitment to education and workforce development.

Dr. Kannan spent over 20 years in academia, first as a faculty member and then as Chair, Department of Management Science and Statistics at the University of Texas at San Antonio (UTSA). During her tenure at UTSA, she helped to develop new undergraduate and graduate programs and led a university-wide initiative on quantitative literacy. Dr. Kannan served as Program Director at the U.S. National Science Foundation (NSF) where her responsibilities included core disciplinary research, mathematical sciences research institutes, and workforce development programs in the Division of Mathematical Sciences as well as a number of cross-directorate and cross-agency activities. She was co-chair for several Data Science related activities in support of Harnessing the Data Revolution, one of NSF’s 10 Big Ideas, and created new programs to support data science foundations as well as data-intensive research in different science and engineering domains. Dr. Kannan also helped to create partnerships with the National Institutes of Health (NIH) to support collaborative efforts in biomedical data science.

Dr. Kannan received her B. Sc. in Statistics from Presidency College, Chennai and an M. Sc. degree in Statistics from the University of Madras before joining the Indian Statistical Institute as a Junior Research Fellow. She received an M.S. in Mathematics from the University of Pittsburgh, and a Ph.D. in Statistics from The Pennsylvania State University under the supervision of Professor C. Radhakrishna Rao. She is a Fellow of the American Association for the Advancement of Science (AAAS), Fellow of the American Statistical Association, and an Elected Member of the International Statistical Institute.",Dr. Nandini Kannan
"Computational Biophysics, Bioinformatics","Molecular Simulations,Essential Dynamics,Free Energy Calculations,Membrane Transporters Modeling,Computer Assisted Drug Designing,Computational Biology/ Chemistry,Bioinformatics,Network Analysis","Dr. Sharma's research interests include the application of computational methods to understand the biological processes, especially those that have their keys residing in conformational dynamics. Her work is at the interface of Chemistry (understanding interactions), Physics (defining rules), Mathematics (integrators, statistical analyses), and Computer Science (extracting, analyzing and making sense of data). She has keen interests in the integration of deep learning with the exploration of conformational dynamics to identify the characteristics that may point to underlying disrupted biological mechanisms and may be amenable to treatment with a resultant increase in survival and thus facilitate clinical decision making. Her vision for the future is to be able to create a world-class premier research environment where she can translate basic research into biomedical research that will impact society as well as the healthcare industry.",Dr. Monika Sharma
Discipline-based education research,"Discipline-based education research,Fink’s Taxonomy of Significant Learning,Epigenetics","Dr. Kannan joined Plaksha University after spending close to 15 years teaching various courses in biological sciences and introductory courses in computer programming at both the Dubai and Pilani campuses of BITS Pilani. He has also been providing academic counseling, mentoring and student support - activities which are close to his heart. For his PhD, he worked at the National Institutes of Health, Maryland in the area of epigenetic control of mammalian transposons. His current research focuses on biology education research, with a special emphasis on Integrated Course Design using Fink's Taxonomy of Significant Learning. He has also worked on devising and implementing novel assessment strategies that foster effective learning, and has been a resource person for faculty development programs held for universities and schools, which he continues to do as part of the initiatives of the Collaboratory for Innovation in Education at Plaksha.",Dr. Manoj Kannan
"Wastewater, Resource efficiency","Wastewater treatment,Membrane technologies,Resource recovery,Translating technology solutions for MSMEs,Circular economy","Dr Malini Balakrishnan is the Director-Center for Water Security. Prior to joining Plaksha, she was a Senior Fellow at The Energy and Resources Institute (TERI), New Delhi where she spent over 25 years being closely involved with different industry sectors, targeting resource use/recovery and waste utilization. The work on enhancing resource efficiency in small and medium enterprises (SMEs) (covering multiple sectors such as metal fabrication/finishing, chemicals and intermediates manufacture etc.) in India and select south Asian countries achieved significant savings in energy, water and raw materials. Her research efforts have been primarily targeted at evolving affordable solutions to specific local problems. Dr Balakrishnan has experience in execution and coordination of pilot demonstrations of technologies such as membrane filtration (for upgrading the juice clarification process in the Indian sugar industry), diffusion dialysis, acid retardation and nanofiltration based recovery systems (for waste acid/rinse water in Indian metal finishing SMEs). She initiated and led TERIs efforts in field testing of membrane bioreactors (MBRs) for wastewater treatment using indigenously prepared membranes from industrial waste. These demonstrations have provided a deeper understanding of challenges in technology adaptation and possible approaches that would encourage the uptake of such technologies. 

Dr. Balakrishnan has worked extensively in partnership with various international and national research groups, leading many multi-institutional international projects. Several of these projects were funded by the European Commission with TERI as the lead partner. She has successfully integrated applied R&D with academic research. As an adjunct faculty at the TERI School of Advanced Studies, Dr. Balakrishnan has supervised PhD candidates and published over 100 research papers. She has served as a nominated expert in select programmes of the Department of Science & Technology, Government of India, in the Chemical Division Council of Bureau of Indian Standards (BIS), reviewer for various funding agencies and peer-reviewed international journals.

Dr Balakrishnan has a B.E. (Hons) in Chemical Engineering and M.Sc. (Hons) in Chemistry, both from Birla Institute of Technology and Science (BITS), Pilani, India, M.A.Sc in Chemical Engineering from University of Waterloo, Canada, and PhD in Biochemical Engineering from Indian Institute of Technology (IIT) Delhi, India.
",Dr. Malini Balakrishnan
"Financial Development, Macroeconomics","Macroeconomics,Entrepreneurship,Development Economics","Dr. Khanna's research interests are broadly in the fields of Financial Development, Entrepreneurship, and Economic Growth. Her recent research focuses on the role of poor quality judicial institutions in limiting the access to finance for firms and creating a misallocation of resources in the economy. In a dynamic heterogeneous-agents setup with formal and informal firms, she studies the impact of credit-contract enforcement in creating the income per capita disparities across Indian States. In another discrete-choice empirical exercise with difference-in-differences, she studies the impact of judicial speed on occupational choices of the working population in India.



Dr. Khanna had obtained a Ph.D. in Economics from the University of Houston, where she also served as a lecturer for Principles in Macroeconomics and Microeconomics courses. She had obtained an M.Phil. and MA in Economics from Centre for Economic Studies and Planning, Jawaharlal Nehru University, Delhi. Before beginning her MA in Economics, she worked as an Analyst at Tata Consultancy Services, Bangalore. Prior to that, she had obtained a Bsc(H) in Mathematics from St. Stephen’s College, Delhi University.
",Dr. Kriti Khanna
,"Microelectromechanical systems (micromachines, sensors and actuators),Ultra-small antenna design for cellular technologies,Thermodynamics and electromagnetic field effects in microscopic systems with low dimensions","Dr. Sinha is a faculty member at Plaksha University. His research interests are converged towards radiating structures with low degrees of freedom. In that context, he has explored ultra-small antenna design and sensing, besides investigating thermodynamics and electromagnetic field effects in microscopic systems with low dimensions. He studied electrical engineering at the Institute of Engineering and Technology, University of Lucknow, India and Telecommunications at ENST de Bretagne, Brest, France. He earned a Ph.D. in Electrical Engineering from University of Cambridge, UK. During the latter part of his stay at Cambridge and as the CTO of Smantenna Ltd, a thin film based antenna startup, he worked on research and commercialization of thin film based antennas. This was followed by a brief stint at Oscion, a technology consulting firm, following which he joined the Singapore University of Technology and Design, Singapore as a Research Fellow.
",Dr. Dhiraj Sinha
Reinforcement learning and Robotics,,"Deepan is currently an Assistant Professor at Plaksha University.
He obtained his PhD from the University of California at Berkeley (2016) and Dual Degree (B.Tech/M.tech) from the Indian Institute of Technology Madras (2010). His doctoral thesis work focused on market mechanisms for integrating demand flexibility in energy markets. He was a post-doctoral associate in the department of Electrical and Computer Engineering at Cornell University, where his work focused on optimization, parametric learning and matching markets. He was then a post-doctoral fellow at the University of California, Irvine, where his work focussed on topics at the intersection of machine learning, decision and control, online learning and optimization.
His current research spans the areas of reinforcement learning, multi-agent systems, machine learning, robotics and multi-agent systems.
Reinforcement learning and Robotics:",Dr. Deepan Muthirayan
Artificial Intelligence,"Artificial Intelligence,Search methods for problem solving,Knowledge representation,Memory based reasoning,Constraint satisfaction problems,Game playing,Epistemic logic","Prior to joining Plaksha, Dr. Deepak Khemani was a faculty member at IIT Madras, where he worked on artificial intelligence with a focus on symbolic reasoning. His research has been on approaches in which an autonomous agent can represent the world around it, draw upon experience to solve problems, and can imagine the future to search for solutions for problems. He has done several projects for government and industry, and collaborative projects funded by BMBF Germany and UKIERI.

He started working in AI during his doctoral studies where he explored the application of memory-based planning in the game of contract bridge. Contract bridge is a game yet unconquered by AI, unlike other games like Chess, Go, Backgammon, and Scrabble where machines rule supreme. His current goals are to combine knowledge representation, heuristic search, and constraints processing to build problem solvers. These methods can be applied to creating articulate tutoring systems that can help students with math and physics problems, amongst other things.

Dr. Khemani teaches courses at the heart of AI, and has popular courses on Search Methods, Knowledge Representation, and Constraint Satisfaction on the NPTEL/Swayam platform. His 2013 book A First Course in AI has wide ranging coverage of the subject.

He has also had interest in popular science and was in the small team that started the children’s science magazine Jantar Mantar in the early nineties published by Tamil Nadu Science Forum. During that period he also wrote a small book The Signs of Zodiac explaining astronomy to young children.
",Dr. Deepak Khemani
Functional Nanomaterials and Electron Transport Analysis,"Nanostructured materials & composites,Structure-property correlations,Electrochemical & optical sensing,Biosensors,Photo-electro(catalysis),Gas conversion reactions,Water security,Point-of-care health,Nanoelectronics,Magneto-dielectrics","Dr. Chaitanya’s research interests broadly cater to design of functional nanostructured materials, nanocomposites, and investigate their structure-property correlations for technology development.

Her recent research has focused on electrochemical, bio and optical sensor development for organic molecule and heavy metal-based analyte detection in water. Remote/online monitoring of pollutant detection in industrial waste water is planned through interdisciplinary research, together with geographical location mapping for more integrated water management and science policy. The sensing principle is planned to be extended to point-of-care health diagnostics through useful collaborations. She has keen interest on solar energy harnessing and gas conversion catalysis for environmental remediation through mechanistic studies on photodegradation of organic dyes in water as well as novel catalyst and filter design aiding toxic gas removal from air. Electrocatalyst design for clean energy will also be a focus at Plaksha.

Dr. Chaitanya also works actively on nanoscale heterostructures with important electronic and magneto-dielectric features useful for device applications.

She is interested in addressing grand challenges in India and globally through translational research involving academia & government labs and with industry partnership. Her passion also involves materials science teaching and science communication. She currently serves as lifetime and governing council member of the Electrochemical Society of India, and is a global affiliate member of the Society for Women Engineers.
",Dr. Chaitanya Lekshmi Indira
Research Interests,"Dialogical Hermeneutics,Philosophy,Religious Studies,Philosophy of Language,Phenomenological Hermeneutics,Philosophy and Practice of Education and Research,Academic Study of Hinduism,Philosophy of Religion","Brainerd has a keen interest in diverse fields that include philosophy & religion, academic research, media & communication, business & entrepreneurship and social engagement.

He has taught courses, and presented papers in conferences and consultations at various universities and institutions in the UK, Europe, South East Asia and India over the past 15 years. He has developed and directed a year-long PhD Preparatory Programme through which several students from the Global South have successfully got admission into UK Universities for PhD programmes.

He has directed international research-based projects in Asia (Vidarbha, Nagpur, and Delhi, India) and Africa (Mwanzo and Magugu, Tanzania) on the theme of ‘faith and development’ which also led to the development of two Practitioner Handbooks, Seeking Wholeness Together: Implementing Development in Faith Contexts Handbook and Nurturing Children Together Handbook designed to equip development workers in the areas of inter-religious dialogue and collaboration.

As part of social engagement through education, he set up the Touch India Trust foundation and gave leadership to a variety of projects and initiatives such as The Tent, a café with a difference for university students, InTouch India, a RNI registered monthly youth magazine and Shiksha Rath, an educational intervention programme for underprivileged slum children in North Delhi (shiksharath.org).

Current Institutional Affiliations:

Fellow, Royal Asiatic Society, London
Associate Member, Green Templeton College, University of Oxford
Book Publications and Writing Projects:

His first book The Integral Philosophy of Aurobindo: Hermeneutics and the Study of Religion was published by Routledge, Oxon in 2017.
He is presently writing his second book for Routledge, Oxon, on the eleventh-century Indian Nyaya scholar, Udayanacharya’s ‘philosophy of Samvada’, a model for a dialogue of traditions, which has application both in the religious and secular worlds.
Monthly Columnist with Morung Express, a regional newspaper out of Nagaland.
",Dr. Brainerd Prince
Educational Technology Computer Science Education,"Tinkering and Making in engineering design education, Active learning pedagogies in computer science education, Emerging technologies for scaffolding the learning process","Dr. Ashutosh Raina obtained his PhD in Educational Technology at IIT Bombay. His thesis focused on tinkering as a means of problem-solving in engineering design. He designed a learning environment to nurture tinkering while solving problems from educational robotics using Lego Mindstorms.
He studied learner’s actions and their interactions with the learning environment and found tinkering to be supportive of personalized problem-solving where the learners were seen performing quick and focused cycles of playful exploration, experimentation and feedback, gradually evolving their solution ideas or strategies. He also found that the learners had developed a sense of agency and confidence in their problem-solving approaches.  

Dr. Raina has worked and consulted on pedagogical and activity design for various curriculums, such as AI for Atal Tinker labs and the Computer Masti Curriculum. Also, he is an instructor for the demystifying networking course on Swayam and NPTEL. He has instructed several faculty development programs in various government and private institutions. He is also a member of the Ed Tech society, India. 
",Dr. Ashutosh Raina
Protein Biochemistry,"Intrinsically disordered proteins, Protein self-assembly in pathological aggregates and membraneless organelles, Biomarkers for Parkinson’s disease, Protein based materials, Single molecule imaging","Dr. Arshdeep Sidhu is a protein biochemist with a specialization in single molecule/conformation imaging using atomic force microscopy. Her research interest includes studying conformation-function of intrinsically disordered proteins and to develop protein-based materials for diverse applications.

She did her PhD from University of Twente, The Netherlands, where she studied polymorphism and functionalization of a Parkinson’s disease associated protein – α-Synuclein. During her postdoctoral fellowship at Erasmus Medical Centre, Rotterdam, she studied the conformation-function relation of BRCA2 protein – a protein associated with breast cancer.

In addition to her research interests, Dr. Sidhu likes to travel, learn new skills and is an environmentalist, who actively seeks and implements solutions for everyday sustainable living.
",Dr. Arshdeep Sidhu
"Embedded Systems, IoT, Applied Machine Learning","Geospatial and Embedded Perception, Deep Learning, Agriculture and Urban Planning","Dr. Anupam Sobti is interested in applied research that drives sustainable communities by reducing the information gap among various stakeholders, e.g., information about heat islands in the city, or information about crop health to an insurance company. He uses techniques from computer vision, machine learning and embedded systems to design these systems. Recent focus in the group has been using techniques in self supervised learning to build scalable and generalizable models that can be applied to areas in urban planning and agriculture.

Dr. Sobti also leads the Geospatial Computer Vision Group at Plaksha University, Mohali, India. The vision is to develop state-of-the-art geospatial intelligence for supporting domains across urban climate, agriculture, and water security. Have a look at our latest publications to know more.
",Dr. Anupam Sobti
"MEMS Technology, IOT systems",,"Prior to joining Plaksha, Dr. Behera worked as a postdoctoral researcher at the Center for Nano Science and Engineering, Indian Institute of Science, Bangalore. Where he led a team to develop a pocket-sized near-infrared spectrometer for quality analysis of food and agriculture produce. The team pitched the product idea in Data innovation bazar 2020, a national event organized by Western Digital and made it to the top-ten finalists.

His PhD research focussed on exploration of dynamic characteristics of microelectromechanical systems for potential sensing applications and development of techniques for measurement of material properties in fabricated micro-mechanical structures. He received his BTech in Mechanical Engineering from National Institute of Technology, Warangal and completed his MSc (Engineering) and PhD in Nano Science and Engineering from Indian Institute of Science, Bengaluru.After his undergraduate, he worked as an engineer at Applied Materials India, where he contributed to the design and fabrication of semiconductor manufacturing equipment.

He is also a certified instructor at Wolfram Research Inc. and contributes as a consultant for the development of Mathematica-based educational content. At Plaksha, Dr. Behera plans to pursue utilitarian research focussed on internet-of-things and sensor technologies to find solutions for the grand challenges in the agriculture and healthcare sector.
",Dr. Amruta R Behera
Applied Mathematics,"Fluid mechanics and turbulence,Perturbation theory and asymptotic methods to solve PDEs,High performance computing,Mathematical modeling of complex physical systems","Dr. Sen obtained his Masters and Ph.D. from the University of Colorado, Boulder, USA in Applied Mathematics during which time he was also a research scholar at the National Center for Atmospheric Research, Boulder, Colorado. He is currently the principal investigator of two research grants sponsored by the Government of India: (a)SERB - Early Career Research Award by DST, and (b) Department of Biotechnology

He is leading a multi-university research project involving PGIMER, Chandigarh and NIFTEM, Sonepat in the capacity of project coordinator. He has significant industrial and research experience in developing mathematical models with several engineering and scientific applications. He has taught undergraduate and postgraduate courses in mathematics in India and America over a span of ten years. Dr. Sen is a 5k runner and a marathon bicyclist who has participated in several 100 mile cross country rides as a member of the School of Applied Sciences and Engineering team of the University of Colorado, Boulder. 
",Dr. Amrik Sen
"Anthropology, History, Religious Studies & Philosophy","Anthropology, Religion and History,Narrative, Performance and Ritual,Oral Traditions and Folk Culture,Religion, Justice and Law","Dr. Malik was trained in philosophy, archaeology and ancient history at St. Stephen’s College (Delhi) and Deccan College (Pune). He received further academic training in classical and modern Indian studies, social anthropology and the history of religions from the internationally acclaimed South Asia Institute of the University of Heidelberg (Germany) from where he received his D.Phil. and Habilitation (Professorial degree). 
 
Dr. Malik has held several senior academic and administrative positions internationally and nationally. He has travelled extensively and given scholarly lectures particularly in the fields of Humanities and Social Sciences in India, USA, Europe and New Zealand. Most recently he was the Vice-Chancellor at K.R. Mangalam University. Previously he has also been the founding Professor and Dean of the School of Historical Studies at the newly established Nalanda University and a Professor in the School of Social and Political Sciences at the University of Canterbury, New Zealand.
 
He has conducted several years of ethnographic fieldwork in rural western and northern India. He is interested in the cultural significance of oral traditions and ritual performance; the intersections of religion, social justice and law; the social, symbolic and religious importance of pilgrimage; the interconnections between memory, time, imagination and historical consciousness; questions concerning the relationship between self, world and language; as well as the meanings of thinking, creativity and intelligence. His current research and teaching interests lie at the intersections of the humanities, social sciences and technology. In particular he is captivated by the prospect of creating a trans-disciplinary, integrated approach that views Earth as an undivided, complex whole made up of the intertwining of physical, biological and social worlds.
 
Dr. Malik is the recipient of several highly competitive international and national research grants. He was Senior Fellow of the Deutsche Forschungsgemeinschaft (German Research Council; Heidelberg, Germany), UNESCO International Consultant (Paris/New Delhi), Visiting Professor, Israel Academy of Sciences at the Institute for Advanced Studies, Hebrew University (Jerusalem, Israel), Visiting Professor at the Cluster Innovation Centre, University of Delhi, and twice a Fellow at the Max Weber Centre for Advanced Cultural and Social Studies (Erfurt, Germany) which counts among the preeminent centres of excellence in social science research in Germany. He was honoured as an Inspired Teacher, the highest civilian recognition for university teachers in India, by the late, former President of India, Bharat Ratna Dr. Pranab Mukherjee in 2016.",Dr. Aditya Malik
Inclusive Design & Design Thinking,"Design Thinking,Universal Design,Wayfinding and Signage Design","Prof. Sheth calls himself a ‘tinkerer’; graduated in Electrical & Electronics Engineering from BITS Pilani, did his Masters in Product Design from National Institute of Design, Ahmedabad; and an M.Phil. from Industrial Design Centre, IITB, Mumbai. Prof. Sheth has been a design practitioner for the past three decades as well as a design educator. 
 
During his 30 years as a design consultant, Prof. Sheth’s firm MIND’s EYE DESIGN Pvt Ltd has provided design services in the areas of Product Design, Signage & Wayfinding Design, Exhibition Design, Corporate Branding, Interiors and Architecture. He was instrumental in setting up the Design Institute for Nirma University and was Professor & Head of the Department. Post that he was Dean of Advancement and a Professor at Anant National University, Ahmedabad, and Adjunct Professor at NRTI (National Rail & Transportation Institute, Vadodara) as well as IIT Gandhinagar.
 
Prof. Sheth is currently a 

Member of the CII Design National Committee, 
Member of the National Executive Council of the Association of Designers of India (ADI) & 
Chartered Member of the Chartered Designers of India.

 
His current areas of interest are Universal Design & Wayfinding.",Amit Sheth
